conf,matched_queries,title,citation_count,abstract,categories,concepts,code_url,pdf_url,authors,doi
IJCV2025,,Toward Accurate and Robust Pedestrian Detection via Variational Inference.,-1,,,,,,"Huanyu He,Weiyao Lin,Yuang Zhang,Tianyao He,Yuxi Li,Jianguo Li",
IJCV2025,,IMC-Det: Intra-Inter Modality Contrastive Learning for Video Object Detection.,-1,,,,,,"Qiang Qi,Zhenyu Qiu,Yan Yan,Yang Lu,Hanzi Wang",
IJCV2025,,R2S100K: Road-Region Segmentation Dataset for Semi-supervised Autonomous Driving in the Wild.,-1,,,,,,"Muhammad Atif Butt,Hassan Ali,Adnan Qayyum,Waqas Sultani,Ala I. Al-Fuqaha,Junaid Qadir",
IJCV2025,,AROID: Improving Adversarial Robustness Through Online Instance-Wise Data Augmentation.,-1,,,,,,"Lin Li,Jianing Qiu,Michael W. Spratling",
IJCV2025,,Learning Box Regression and Mask Segmentation Under Long-Tailed Distribution with Gradient Transfusing.,-1,,,,,,"Tao Wang,Li Yuan,Xinchao Wang,Jiashi Feng",
IJCV2025,,Learning General and Specific Embedding with Transformer for Few-Shot Object Detection.,-1,,,,,,"Xu Zhang,Zhe Chen,Jing Zhang,Tongliang Liu,Dacheng Tao",
IJCV2025,,Guest Editorial: Special Issue on Open-World Visual Recognition.,-1,,,,,,"Zhun Zhong,Hong Liu,Yin Cui,Shin'ichi Satoh,Nicu Sebe,Ming-Hsuan Yang",
IJCV2025,,Correction: Open-Vocabulary Text-Driven Human Image Generation.,-1,,,,,,"Kaiduo Zhang,Muyi Sun,Jianxin Sun,Kunbo Zhang,Zhenan Sun,Tieniu Tan",
IJCV2025,,Lightweight High-Speed Photography Built on Coded Exposure and Implicit Neural Representation of Videos.,-1,,,,,,"Zhihong Zhang,Runzhao Yang,Jinli Suo,Yuxiao Cheng,Qionghai Dai",
IJCV2025,,Revisiting Class-Incremental Learning with Pre-Trained Models: Generalizability and Adaptivity are All You Need.,-1,,,,,,"Da-Wei Zhou,Zi-Wen Cai,Han-Jia Ye,De-Chuan Zhan,Ziwei Liu",
IJCV2025,,Systematic Evaluation of Uncertainty Calibration in Pretrained Object Detectors.,-1,,,,,,"Denis Huseljic,Marek Herde,Paul Hahn,Mehmet Muejde,Bernhard Sick",
IJCV2025,,Adaptive Fuzzy Positive Learning for Annotation-Scarce Semantic Segmentation.,-1,,,,,,"Pengchong Qiao,Yu Wang,Chang Liu,Lei Shang,Baigui Sun,Zhennan Wang,Xiawu Zheng,Rongrong Ji,Jie Chen",
IJCV2025,,Continual Face Forgery Detection via Historical Distribution Preserving.,-1,,,,,,"Ke Sun,Shen Chen,Taiping Yao,Xiaoshuai Sun,Shouhong Ding,Rongrong Ji",
IJCV2025,,WeakCLIP: Adapting CLIP for Weakly-Supervised Semantic Segmentation.,-1,,,,,,"Lianghui Zhu,Xinggang Wang,Jiapei Feng,Tianheng Cheng,Yingyue Li,Bo Jiang,Dingwen Zhang,Junwei Han",
IJCV2025,,In Search of Lost Online Test-Time Adaptation: A Survey.,-1,,,,,,"Zixin Wang,Yadan Luo,Liang Zheng,Zhuoxiao Chen,Sen Wang,Zi Huang",
IJCV2025,,Hierarchical Active Learning for Low-Altitude Drone-View Object Detection.,-1,,,,,,"Haohao Hu,Tianyu Han,Yuerong Wang,Wanjun Zhong,Jingwei Yue,Peng Zan",
IJCV2025,,Lidar Panoptic Segmentation in an Open World.,-1,,,,,,"Anirudh Srinivasan Chakravarthy,Meghana Reddy Ganesina,Peiyun Hu,Laura Leal-Taixé,Shu Kong,Deva Ramanan,Aljosa Osep",
IJCV2025,,FastComposer: Tuning-Free Multi-subject Image Generation with Localized Attention.,-1,,,,,,"Guangxuan Xiao,Tianwei Yin,William T. Freeman,Frédo Durand,Song Han",
IJCV2025,,Breaking the Limits of Reliable Prediction via Generated Data.,-1,,,,,,"Zhen Cheng,Fei Zhu,Xu-Yao Zhang,Chenglin Liu",
IJCV2025,,Slimmable Networks for Contrastive Self-supervised Learning.,-1,,,,,,"Shuai Zhao,Linchao Zhu,Xiaohan Wang,Yi Yang",
IJCV2025,,Robust Deep Object Tracking against Adversarial Attacks.,-1,,,,,,"Shuai Jia,Chao Ma,Yibing Song,Xiaokang Yang,Ming-Hsuan Yang",
IJCV2025,,Mutual Prompt Leaning for Vision Language Models.,-1,,,,,,"Sifan Long,Zhen Zhao,Junkun Yuan,Zichang Tan,Jiangjiang Liu,Jingyuan Feng,Sheng-Sheng Wang,Jingdong Wang",
IJCV2025,,LEO: Generative Latent Image Animator for Human Video Synthesis.,-1,,,,,,"Yaohui Wang,Xin Ma,Xinyuan Chen,Cunjian Chen,Antitza Dantcheva,Bo Dai,Yu Qiao",
